ПІБ,Пільги,Бал з математики,Бал з англійської,Бал з української,Рейтинг,Рішення
Вікторія Андріїш,False,174,158,137,158.1,незараховано
Михайло Товтиш,False,183,119,164,158.1,незараховано
Артем Петріш,False,195,108,159,158.1,незараховано
Олена Іриниш,True,158,129,187,158.0,незараховано
Людмила Ніниш,True,149,128,200,158.0,незараховано
Іванна Тетяниш,False,173,193,103,158.0,незараховано
Артем Дмитришенко,True,164,169,139,158.0,незараховано
Ігор Товтиш,True,154,136,185,157.9,незараховано
Анна Оксаниш,False,160,189,124,157.89999999999998,незараховано
Богдан Іванниш,True,172,196,101,157.89999999999998,незараховано
Віктор Дмитріш,True,126,164,194,157.79999999999998,незараховано
Володимир Оксаниш,True,134,196,151,157.7,незараховано
Катерина Михайлиш,True,182,174,109,157.7,незараховано
Дмитро Наталіїш,True,121,178,186,157.60000000000002,незараховано
Андрій Ілляш,False,160,136,176,157.6,незараховано
Володимир Артеміш,True,109,193,187,157.6,незараховано
Андрій Неборачко,True,160,129,183,157.6,незараховано
Ярослава Загвойко,False,187,139,137,157.6,незараховано
Ольга Олениш,True,124,161,199,157.6,незараховано
Марта Іванниш,False,147,140,189,157.5,незараховано
Михайло Володимириш,False,155,188,130,157.4,незараховано
Михайло Олениш,False,173,132,162,157.4,незараховано
Олексій Дмитришенко,True,152,155,167,157.4,незараховано
Ганна Ганниш,False,142,192,143,157.3,незараховано
Олена Людмилиш,True,154,164,155,157.3,незараховано
Оксана Андріїш,True,148,180,147,157.3,незараховано
Тетяна Іваниш,True,129,164,188,157.2,незараховано
Юлія Ярославіш,True,156,167,149,157.2,незараховано
Ігор Олениш,True,194,109,156,157.10000000000002,незараховано
Ілля Олексіїш,False,119,176,189,157.1,незараховано
Ольга Вікторіш,False,191,144,125,157.1,незараховано
Марія Володимириш,False,152,186,135,157.1,незараховано
Марта Іриниш,False,154,156,162,157.0,незараховано
Катерина Вікторіш,True,196,132,130,157.0,незараховано
Петро Артеміш,False,156,175,140,156.9,незараховано
Іванна Вікторіїш,False,123,179,180,156.9,незараховано
Олег Вікторіїш,True,158,172,140,156.8,незараховано
Ярослав Ганниш,True,194,142,122,156.8,незараховано
Лідія Алібіба,False,197,118,142,156.8,незараховано
Олена Софіїш,True,152,156,164,156.79999999999998,незараховано
Вікторія Маріїш,False,166,124,177,156.7,незараховано
Олег Ілляш,False,192,159,107,156.6,незараховано
Дмитро Максиміш,True,129,187,163,156.6,незараховано
Ольга Олексіїш,True,144,179,151,156.6,незараховано
Олена Ярославиш,False,183,149,129,156.6,незараховано
Андрій Михайлиш,True,165,178,124,156.6,незараховано
Юлія Тетяниш,True,179,111,172,156.5,незараховано
Наталія Ігоріш,True,191,161,106,156.5,незараховано
Роман Вікторіш,False,191,150,117,156.5,незараховано
Юлія Анатоліїш,False,136,151,189,156.4,незараховано
Олексій Ілляш,False,169,179,117,156.4,незараховано
Роман Софіїш,True,153,130,187,156.3,незараховано
Анна Катериниш,False,117,174,191,156.3,незараховано
Ярослава Олениш,True,192,102,163,156.3,незараховано
Петро Сергіїш,True,177,114,171,156.3,незараховано
Лідія Ярославиш,False,156,194,119,156.29999999999998,незараховано
Володимир Романіш,True,191,157,109,156.2,незараховано
Марія Дмитришенко,False,125,154,200,156.2,незараховано
Іван Ніниш,True,170,157,137,156.2,незараховано
Олексій Людмилиш,True,182,141,137,156.2,незараховано
Іван Іванниш,True,121,186,173,156.1,незараховано
Ганна Сергіїш,False,151,159,160,156.1,незараховано
Людмила Богданіш,True,177,182,102,156.0,незараховано
Олександр Дмитріш,True,102,200,184,156.0,незараховано
Ярослава Вікторіїш,True,153,177,139,156.0,незараховано
Богдан Софіїш,True,144,157,171,156.0,незараховано
Ігор Іванниш,False,141,175,157,156.0,незараховано
Олег Анниш,True,152,162,155,155.9,незараховано
Сергій Людмилиш,False,179,180,101,155.9,незараховано
Людмила Вікторіш,True,149,126,195,155.9,незараховано
Петро Володимириш,True,128,196,153,155.9,незараховано
Володимир Неборачко,False,170,137,156,155.89999999999998,незараховано
Олександр Анниш,True,115,180,186,155.8,незараховано
Катерина Ковтун,True,118,165,197,155.8,незараховано
Максим Ганниш,False,121,181,177,155.8,незараховано
Олексій Неборачко,False,139,187,147,155.8,незараховано
Софія Олексіїш,False,184,134,140,155.8,незараховано
Тарас Тарасіш,True,184,143,131,155.8,незараховано
Анатолій Вікторіш,False,186,101,170,155.7,незараховано
Ярослав Ярославиш,False,156,157,154,155.7,незараховано
Анна Анниш,True,147,154,169,155.7,незараховано
Наталія Ніниш,True,144,171,156,155.7,незараховано
Людмила Артеміш,True,156,139,172,155.7,незараховано
Олена Іванниш,False,129,183,164,155.7,незараховано
Лідія Маріїш,False,168,138,157,155.7,незараховано
Софія Петріш,False,167,151,145,155.6,незараховано
Ірина Оксаниш,True,160,163,142,155.5,незараховано
Анатолій Олегіш,True,196,141,116,155.5,незараховано
Ірина Ілляш,True,139,154,179,155.5,незараховано
Марія Олениш,False,169,190,103,155.5,незараховано
Іванна Товтиш,False,123,184,170,155.4,незараховано
Роман Анниш,False,186,126,144,155.4,незараховано
Павло Ганниш,True,150,153,165,155.4,незараховано
Катерина Олениш,True,165,152,146,155.39999999999998,незараховано
Сергій Ніниш,True,155,188,123,155.3,незараховано
Олена Олегіш,True,109,172,200,155.2,незараховано
Тарас Іванниш,False,139,186,146,155.2,незараховано
Ярослава Олександріш,False,132,195,146,155.10000000000002,незараховано
Анастасія Анатоліїш,False,198,101,152,155.1,незараховано
Лідія Ярославіш,True,120,194,163,155.1,незараховано
Марія Неборачко,False,171,131,158,155.1,незараховано
Віктор Ілляш,False,188,143,123,155.0,незараховано
Сергій Ковтун,False,143,142,184,155.0,незараховано
Андрій Загвойко,False,167,181,113,155.0,незараховано
Юлія Іванниш,False,179,167,111,155.0,незараховано
Тарас Неборачко,True,140,196,134,155.0,незараховано
Оксана Ковтун,True,167,149,145,155.0,незараховано
Олексій Катериниш,True,175,163,120,154.9,незараховано
Ганна Ярославіш,True,172,104,183,154.9,незараховано
Катерина Олегіш,False,136,184,151,154.89999999999998,незараховано
Анатолій Людмилиш,False,173,176,109,154.7,незараховано
Іван Володимириш,False,176,135,146,154.7,незараховано
Тарас Олегіш,True,167,168,125,154.7,незараховано
Іванна Людмилиш,True,154,159,151,154.6,незараховано
Тетяна Тетяниш,False,118,173,185,154.6,незараховано
Ірина Маріїш,True,166,165,129,154.6,незараховано
Михайло Іванниш,True,138,163,168,154.5,незараховано
Ірина Тарасіш,False,102,190,189,154.5,незараховано
Михайло Лідіїш,True,138,150,181,154.5,незараховано
Марія Катериниш,False,131,141,199,154.4,незараховано
Тетяна Ганниш,True,197,120,132,154.4,незараховано
Артем Тарасіш,False,136,185,148,154.3,незараховано
Артем Алібіба,True,105,182,192,154.2,незараховано
Павло Іваниш,True,194,104,151,154.10000000000002,незараховано
Володимир Михайлиш,True,158,107,196,154.10000000000002,незараховано
Юлія Іриниш,False,161,195,104,154.1,незараховано
Олена Вікторіїш,False,188,113,150,154.1,незараховано
Олександр Вікторіїш,False,170,155,132,154.1,незараховано
Ірина Сергіїш,False,161,164,135,154.1,незараховано
Ілля Алібіба,False,182,107,164,154.1,незараховано
Ірина Петріш,True,155,123,184,154.1,незараховано
Олег Дмитріш,True,199,124,124,154.0,незараховано
Ніна Дмитріш,True,178,127,149,154.0,незараховано
Ганна Артеміш,True,172,114,170,154.0,незараховано
Ярослав Ніниш,True,199,128,120,154.0,незараховано
Тарас Іваниш,False,141,158,167,153.9,незараховано
Андрій Ковтун,False,198,107,142,153.9,незараховано
Петро Іриниш,True,168,177,112,153.9,незараховано
Олександр Загвойко,True,138,183,146,153.89999999999998,незараховано
Ілля Дмитріш,True,119,187,167,153.8,незараховано
Анна Михайлиш,True,188,162,100,153.8,незараховано
Олена Ілляш,True,193,143,112,153.7,незараховано
Михайло Богданіш,True,130,200,139,153.7,незараховано
Ігор Ігоріш,False,127,146,197,153.7,незараховано
Максим Олексіїш,True,129,156,184,153.6,незараховано
Петро Андріїш,True,162,165,131,153.6,незараховано
Павло Вікторіш,False,102,187,189,153.6,незараховано
Юлія Неборачко,True,158,130,171,153.5,незараховано
Юлія Товтиш,True,121,182,168,153.4,незараховано
Людмила Петріш,False,156,126,177,153.3,незараховано
Артем Катериниш,True,189,155,104,153.3,незараховано
Катерина Петріш,True,186,130,133,153.3,незараховано
Андрій Ніниш,True,194,142,110,153.20000000000002,незараховано
Олександр Володимириш,True,137,151,177,153.2,незараховано
Богдан Петріш,False,161,137,159,153.2,незараховано
Богдан Лідіїш,False,140,182,142,153.2,незараховано
Анастасія Оксаниш,True,151,129,180,153.1,незараховано
Іванна Алібіба,True,121,150,199,153.1,незараховано
Петро Богданіш,True,150,137,173,153.0,незараховано
Тарас Дмитріш,False,144,178,140,153.0,незараховано
Марія Тарасіш,False,150,119,191,153.0,незараховано
Олександр Наталіїш,True,105,179,191,153.0,незараховано
Дмитро Людмилиш,True,141,138,184,153.0,незараховано
Оксана Лідіїш,True,114,186,172,153.0,незараховано
Ніна Анатоліїш,True,156,112,190,153.0,незараховано
Ярослава Володимириш,True,197,130,117,152.9,незараховано
Михайло Анниш,True,133,160,172,152.8,незараховано
Ольга Дмитришенко,True,169,112,172,152.8,незараховано
Ірина Ковтун,True,169,146,138,152.8,незараховано
Роман Андріїш,True,193,133,119,152.79999999999998,незараховано
Іванна Дмитришенко,True,195,126,123,152.7,незараховано
Сергій Вікторіш,False,180,144,125,152.7,незараховано
Олена Тетяниш,True,161,103,191,152.60000000000002,незараховано
Анна Анатоліїш,False,104,200,170,152.6,незараховано
Лідія Ковтун,True,151,160,147,152.5,незараховано
Вікторія Вікторіш,True,130,139,196,152.5,незараховано
Іванна Загвойко,False,139,197,126,152.5,незараховано
Ігор Олексіїш,True,157,155,144,152.5,незараховано
Олексій Дмитріш,True,171,115,165,152.4,незараховано
Павло Андріїш,False,132,150,182,152.4,незараховано
Сергій Ярославиш,True,169,105,177,152.20000000000002,незараховано
Тарас Петріш,False,151,173,133,152.20000000000002,незараховано
Роман Тарасіш,False,169,149,133,152.20000000000002,незараховано
Олена Володимириш,False,166,155,131,152.2,незараховано
Дмитро Романіш,True,187,110,148,152.2,незараховано
Олександр Товтиш,False,187,141,117,152.2,незараховано
Анатолій Дмитріш,False,139,174,148,152.2,незараховано
Ігор Ілляш,False,192,131,120,152.10000000000002,незараховано
Тетяна Вікторіїш,True,168,114,169,152.1,незараховано
Павло Олегіш,True,120,162,185,152.1,незараховано
Ярослава Ярославіш,True,123,145,198,152.1,незараховано
Ірина Анатоліїш,True,144,200,115,152.1,незараховано
Роман Олениш,False,149,192,116,152.0,незараховано
Богдан Тарасіш,True,182,150,114,152.0,незараховано
Людмила Михайлиш,False,112,178,179,151.9,незараховано
Ілля Софіїш,True,157,174,123,151.9,незараховано
Людмила Оксаниш,True,181,117,148,151.9,незараховано
Ірина Наталіїш,False,174,131,143,151.8,незараховано
Юлія Софіїш,True,155,141,158,151.7,незараховано
Анастасія Ярославиш,True,158,140,155,151.7,незараховано
Віктор Маріїш,False,131,135,196,151.7,незараховано
Дмитро Ганниш,True,115,162,190,151.6,незараховано
Іванна Ніниш,True,139,135,185,151.6,незараховано
Анастасія Товтиш,False,163,114,174,151.6,незараховано
Наталія Анниш,False,148,118,190,151.6,незараховано
Володимир Вікторіїш,True,180,163,102,151.5,незараховано
Олег Богданіш,False,161,106,184,151.4,незараховано
Віктор Іваниш,True,173,157,117,151.4,незараховано
Юлія Ярославиш,False,176,154,116,151.39999999999998,незараховано
Андрій Товтиш,False,142,171,144,151.29999999999998,незараховано
Тарас Загвойко,True,175,132,139,151.29999999999998,незараховано
Катерина Ігоріш,True,102,192,176,151.2,незараховано
Роман Маріїш,False,159,120,172,151.2,незараховано
Павло Олексіїш,False,105,175,189,151.2,незараховано
Олександр Дмитришенко,True,180,163,101,151.2,незараховано
Сергій Вікторіїш,True,158,143,150,151.1,незараховано
Ганна Маріїш,True,191,125,124,151.1,незараховано
Марія Ярославиш,False,167,123,158,151.1,незараховано
Анна Тарасіш,False,103,199,167,151.0,незараховано
Марта Ілляш,True,124,142,196,151.0,незараховано
Анатолій Богданіш,False,166,175,107,151.0,незараховано
Марта Сергіїш,False,181,114,148,151.0,незараховано
Ігор Ярославиш,False,130,133,197,151.0,незараховано
Ярослав Михайлиш,True,151,199,103,151.0,незараховано
Павло Тарасіш,False,129,174,157,150.9,незараховано
Володимир Тарасіш,True,171,100,175,150.9,незараховано
Віктор Лідіїш,True,183,115,144,150.9,незараховано
Софія Неборачко,True,102,178,189,150.9,незараховано
Максим Дмитришенко,True,192,134,113,150.9,незараховано
Людмила Андріїш,True,156,106,189,150.9,незараховано
Ірина Ганниш,False,132,187,140,150.9,незараховано
Оксана Олександріш,False,125,155,181,150.8,незараховано
Олександр Софіїш,False,152,194,106,150.8,незараховано
Петро Олениш,True,194,115,129,150.8,незараховано
Оксана Загвойко,True,101,178,190,150.8,незараховано
Ярослав Анниш,False,161,147,141,150.8,незараховано
Марта Катериниш,False,128,158,174,150.79999999999998,незараховано
Юлія Олегіш,False,172,131,142,150.7,незараховано
Іванна Вікторіш,False,124,152,185,150.7,незараховано
Ілля Анатоліїш,True,162,106,180,150.6,незараховано
Людмила Тарасіш,True,189,123,127,150.6,незараховано
Іванна Лідіїш,False,195,125,117,150.6,незараховано
Наталія Маріїш,True,101,168,199,150.5,незараховано
Анатолій Ковтун,False,188,112,139,150.5,незараховано
Артем Тетяниш,True,146,193,114,150.5,незараховано
Анатолій Маріїш,True,167,123,156,150.5,незараховано
Анастасія Анниш,False,199,119,117,150.4,незараховано
Тетяна Анатоліїш,True,139,153,163,150.4,незараховано
Ярослав Іваниш,True,154,105,191,150.39999999999998,незараховано
Тарас Анниш,True,153,156,141,150.3,незараховано
Ігор Олександріш,False,162,136,149,150.29999999999998,незараховано
Софія Загвойко,True,149,146,156,150.2,незараховано
Ярослава Андріїш,False,179,108,154,150.2,незараховано
Артем Андріїш,False,143,173,137,150.2,незараховано
Іван Вікторіїш,False,157,109,182,150.1,незараховано
Марта Андріїш,False,151,181,118,150.1,незараховано
Оксана Іванниш,True,193,124,119,150.1,незараховано
Анатолій Наталіїш,False,177,101,163,150.0,незараховано
Ніна Олексіїш,True,189,145,103,150.0,незараховано
Володимир Ганниш,True,170,170,103,149.9,незараховано
Володимир Андріїш,True,197,104,133,149.9,незараховано
Олександр Неборачко,True,155,120,173,149.9,незараховано
Михайло Ярославиш,False,194,120,121,149.9,незараховано
Олег Ганниш,True,110,161,192,149.89999999999998,незараховано
Андрій Лідіїш,False,157,107,183,149.8,незараховано
Анатолій Сергіїш,False,112,180,170,149.8,незараховано
Ольга Ігоріш,True,148,174,128,149.8,незараховано
Ілля Ганниш,False,124,150,184,149.79999999999998,незараховано
Вікторія Олениш,False,123,158,177,149.7,незараховано
Максим Дмитріш,False,177,157,106,149.7,незараховано
Ярослава Іваниш,True,155,159,133,149.6,незараховано
Олексій Володимириш,False,167,174,102,149.6,незараховано
Максим Богданіш,False,122,153,183,149.6,незараховано
Артем Дмитріш,False,182,151,105,149.6,незараховано
Ірина Вікторіїш,True,134,176,144,149.6,незараховано
Оксана Артеміш,False,175,118,147,149.5,незараховано
Лідія Ганниш,False,171,101,169,149.4,незараховано
Богдан Дмитришенко,True,135,135,183,149.4,незараховано
Лідія Богданіш,True,167,154,121,149.3,незараховано
Лідія Іванниш,False,155,145,146,149.3,незараховано
Людмила Анатоліїш,True,128,193,134,149.29999999999998,незараховано
Михайло Загвойко,True,136,195,121,149.2,незараховано
Анастасія Людмилиш,False,181,100,156,149.2,незараховано
Ніна Маріїш,True,111,178,171,149.10000000000002,незараховано
Павло Олександріш,True,153,174,119,149.1,незараховано
Ярослав Олениш,False,132,186,135,149.1,незараховано
Олексій Маріїш,True,114,161,184,149.1,незараховано
Ганна Романіш,True,135,189,128,149.1,незараховано
Ілля Олександріш,True,167,104,170,149.0,незараховано
Ілля Загвойко,False,197,109,125,149.0,незараховано
Вікторія Ярославиш,False,107,184,170,149.0,незараховано
Анна Іваниш,True,124,187,144,148.9,незараховано
Оксана Петріш,False,184,111,140,148.9,незараховано
Михайло Михайлиш,False,127,127,200,148.9,незараховано
Петро Анниш,False,115,181,162,148.9,незараховано
Олексій Ярославиш,True,130,135,188,148.9,незараховано
Ніна Софіїш,True,183,107,145,148.8,незараховано
Тетяна Катериниш,False,162,100,180,148.8,незараховано
Наталія Андріїш,True,146,167,134,148.7,незараховано
Наталія Вікторіш,True,103,186,172,148.6,незараховано
Катерина Лідіїш,False,109,178,172,148.6,незараховано
Ярослава Ковтун,True,154,157,133,148.6,незараховано
Юлія Петріш,False,105,163,192,148.5,незараховано
Іван Богданіш,True,174,123,140,148.5,незараховано
Іван Анниш,False,101,166,194,148.4,незараховано
Катерина Тарасіш,True,173,121,143,148.4,незараховано
Сергій Дмитришенко,True,119,184,152,148.4,незараховано
Іван Іриниш,True,143,158,146,148.39999999999998,незараховано
Лідія Неборачко,False,127,149,176,148.3,незараховано
Марія Андріїш,False,115,169,172,148.29999999999998,незараховано
Ярослава Людмилиш,False,132,145,173,148.20000000000002,незараховано
Ольга Софіїш,True,114,175,167,148.2,незараховано
Наталія Олениш,True,156,135,151,148.2,незараховано
Анастасія Ілляш,True,120,164,170,148.2,незараховано
Людмила Олександріш,False,162,140,138,148.2,незараховано
Віктор Неборачко,False,126,195,131,148.2,незараховано
Сергій Артеміш,True,108,175,175,148.2,незараховано
Анна Вікторіїш,False,168,102,168,148.2,незараховано
Тетяна Іванниш,True,130,143,177,148.0,незараховано
Оксана Софіїш,True,175,110,150,148.0,незараховано
Олена Дмитріш,True,115,144,196,148.0,незараховано
Богдан Алібіба,True,162,160,117,147.9,незараховано
Олексій Анниш,True,153,182,107,147.9,незараховано
Анна Алібіба,False,159,127,154,147.9,незараховано
Анна Володимириш,True,152,173,117,147.8,незараховано
Олександр Ярославіш,True,143,147,155,147.8,незараховано
Михайло Алібіба,False,100,197,162,147.7,незараховано
Анастасія Маріїш,True,148,165,130,147.7,незараховано
Іван Товтиш,True,175,112,147,147.7,незараховано
Іванна Михайлиш,False,192,101,135,147.60000000000002,незараховано
Максим Іваниш,True,129,142,178,147.6,незараховано
Софія Михайлиш,True,165,130,142,147.6,незараховано
Максим Софіїш,True,153,101,187,147.6,незараховано
Іван Катериниш,True,104,197,156,147.5,незараховано
Сергій Володимириш,False,113,167,174,147.5,незараховано
Анастасія Олексіїш,False,188,109,132,147.5,незараховано
Анастасія Олександріш,True,112,184,158,147.4,незараховано
Марія Маріїш,False,178,128,126,147.39999999999998,незараховано
Віктор Софіїш,False,129,141,178,147.3,незараховано
Марта Тарасіш,True,147,175,120,147.3,незараховано
Анастасія Софіїш,False,104,184,168,147.2,незараховано
Людмила Максиміш,False,107,151,197,147.2,незараховано
Тетяна Ярославіш,True,148,137,156,147.10000000000002,незараховано
Іванна Софіїш,False,181,128,121,147.10000000000002,незараховано
Анатолій Ярославіш,False,145,144,153,147.1,незараховано
Ярослав Людмилиш,True,118,178,155,147.1,незараховано
Ніна Іваниш,False,130,191,126,147.1,незараховано
Віктор Петріш,False,130,137,180,147.1,незараховано
Ніна Андріїш,False,166,122,147,147.1,незараховано
Ольга Петріш,True,117,198,136,147.0,незараховано
Марта Дмитріш,False,120,152,178,147.0,незараховано
Олена Богданіш,False,137,110,197,146.9,незараховано
Анна Іванниш,True,122,169,158,146.9,незараховано
Олександр Ніниш,False,143,178,121,146.89999999999998,незараховано
Олена Олениш,False,155,164,119,146.89999999999998,незараховано
Людмила Софіїш,True,116,169,166,146.89999999999998,незараховано
Михайло Ніниш,True,157,114,166,146.8,незараховано
Анатолій Вікторіїш,False,153,147,138,146.70000000000002,незараховано
Віктор Богданіш,False,177,145,108,146.7,незараховано
Ганна Софіїш,True,159,132,145,146.7,незараховано
Анатолій Артеміш,True,108,179,166,146.7,незараховано
Марія Тетяниш,True,119,182,148,146.6,незараховано
Ігор Лідіїш,False,160,131,144,146.5,незараховано
Артем Іваниш,False,199,100,123,146.5,незараховано
Максим Наталіїш,False,126,132,188,146.4,незараховано
Марта Вікторіїш,True,198,104,120,146.4,незараховано
Ірина Лідіїш,False,162,151,121,146.39999999999998,незараховано
Петро Ковтун,True,131,182,131,146.3,незараховано
Ірина Артеміш,False,155,146,135,146.3,незараховано
Ілля Ніниш,True,128,129,188,146.3,незараховано
Ольга Ярославиш,False,169,144,118,146.20000000000002,незараховано
Ніна Тарасіш,True,166,133,133,146.20000000000002,незараховано
Анастасія Катериниш,False,154,178,104,146.2,незараховано
Володимир Маріїш,True,156,126,153,146.1,незараховано
Олег Анатоліїш,True,126,150,169,146.1,незараховано
Максим Сергіїш,True,105,167,180,146.1,незараховано
Іван Максиміш,False,110,164,176,146.0,незараховано
Петро Вікторіїш,False,133,156,153,145.9,незараховано
Богдан Михайлиш,True,148,110,179,145.9,незараховано
Тарас Володимириш,False,145,173,120,145.9,незараховано
Оксана Анниш,False,175,124,129,145.89999999999998,незараховано
Олексій Олегіш,True,129,136,178,145.8,незараховано
Ярослав Ковтун,True,108,182,160,145.8,незараховано
Михайло Дмитріш,False,149,110,177,145.7,незараховано
Ольга Анатоліїш,True,194,106,121,145.7,незараховано
Артем Сергіїш,False,137,187,116,145.7,незараховано
Анатолій Софіїш,False,184,104,136,145.60000000000002,незараховано
Іван Андріїш,False,138,117,184,145.5,незараховано
Ганна Олениш,True,183,117,124,145.5,незараховано
Ганна Петріш,True,161,118,152,145.4,незараховано
Анатолій Олексіїш,False,152,109,173,145.4,незараховано
Катерина Анатоліїш,False,134,130,176,145.39999999999998,незараховано
Дмитро Катериниш,False,125,167,151,145.39999999999998,незараховано
Михайло Вікторіїш,False,133,111,196,145.3,незараховано
Марія Анниш,True,121,197,126,145.3,незараховано
Ілля Ілляш,True,175,127,124,145.29999999999998,незараховано
Ганна Наталіїш,True,124,145,174,145.29999999999998,незараховано
Ганна Анатоліїш,False,120,137,187,145.2,незараховано
Іван Артеміш,False,114,191,141,145.2,незараховано
Артем Товтиш,False,159,125,147,145.2,незараховано
Тетяна Олегіш,True,135,119,185,145.2,незараховано
Тарас Олениш,False,141,159,137,145.2,незараховано
Людмила Сергіїш,False,120,165,159,145.2,незараховано
Богдан Анатоліїш,True,149,113,172,145.1,незараховано
Тарас Олексіїш,False,143,165,128,145.1,незараховано
Марія Вікторіш,False,143,130,163,145.1,незараховано
Богдан Сергіїш,False,166,136,126,145.0,незараховано
Максим Тетяниш,False,190,125,105,145.0,незараховано
Ігор Алібіба,True,169,131,127,145.0,незараховано
Тарас Людмилиш,False,124,149,169,145.0,незараховано
Софія Софіїш,True,148,163,123,145.0,незараховано
Наталія Дмитріш,False,100,164,186,145.0,незараховано
Іван Ігоріш,False,184,121,117,145.0,незараховано
Лідія Олегіш,True,147,115,172,144.9,незараховано
Павло Маріїш,True,123,156,163,144.9,незараховано
Ярослав Катериниш,True,108,160,179,144.9,незараховано
Вікторія Олександріш,True,138,153,146,144.89999999999998,незараховано
Максим Артеміш,True,107,184,156,144.8,незараховано
Софія Вікторіїш,False,155,130,146,144.8,незараховано
Михайло Софіїш,False,164,113,151,144.8,незараховано
Ніна Ілляш,False,113,133,199,144.79999999999998,незараховано
Олег Ковтун,False,100,170,179,144.7,незараховано
Ніна Богданіш,True,151,124,157,144.7,незараховано
Катерина Ніниш,True,181,105,136,144.7,незараховано
Сергій Тетяниш,False,177,138,108,144.6,незараховано
Олексій Іриниш,True,177,112,134,144.6,незараховано
Юлія Ковтун,False,113,179,152,144.5,незараховано
Петро Максиміш,True,121,146,174,144.4,незараховано
Сергій Олександріш,True,184,118,118,144.4,незараховано
Андрій Анниш,False,142,153,139,144.4,незараховано
Ярослав Анатоліїш,True,172,111,141,144.39999999999998,незараховано
Вікторія Лідіїш,True,148,138,146,144.39999999999998,незараховано
Володимир Олениш,True,159,146,123,144.3,незараховано
Тарас Оксаниш,True,177,127,118,144.3,незараховано
Віктор Тарасіш,False,186,114,119,144.29999999999998,незараховано
Олена Романіш,True,162,108,157,144.29999999999998,незараховано
Володимир Алібіба,False,185,132,102,144.2,незараховано
Павло Дмитришенко,True,155,165,109,144.2,незараховано
Ігор Анниш,False,116,170,156,144.2,незараховано
Анастасія Ганниш,False,116,155,171,144.2,незараховано
Ігор Богданіш,False,146,112,174,144.2,незараховано
Володимир Вікторіш,False,136,171,128,144.1,незараховано
Віктор Алібіба,False,172,144,107,144.1,незараховано
Іван Маріїш,False,124,137,178,144.1,незараховано
Ілля Лідіїш,False,145,110,177,144.1,незараховано
Петро Вікторіш,True,121,179,140,144.1,незараховано
Михайло Тетяниш,False,187,120,111,144.1,незараховано
Павло Наталіїш,False,123,127,189,144.0,незараховано
Богдан Олексіїш,True,119,186,135,143.9,незараховано
Марта Олегіш,False,122,152,165,143.9,незараховано
Ніна Ганниш,True,104,161,180,143.9,незараховано
Ірина Ярославиш,False,154,166,108,143.8,незараховано
Іванна Олексіїш,False,151,146,132,143.8,незараховано
Віктор Максиміш,False,172,105,145,143.8,незараховано
Олександр Олениш,False,156,139,132,143.7,незараховано
Петро Олександріш,True,150,104,175,143.7,незараховано
Ніна Лідіїш,True,143,111,177,143.6,незараховано
Олексій Анатоліїш,True,116,149,175,143.6,незараховано
Ірина Максиміш,False,157,121,148,143.5,незараховано
Артем Вікторіїш,True,150,145,133,143.4,незараховано
Сергій Неборачко,False,108,171,163,143.4,незараховано
Петро Олексіїш,True,132,144,158,143.4,незараховано
Дмитро Михайлиш,False,120,183,135,143.4,незараховано
Марта Іваниш,True,105,138,200,143.4,незараховано
Оксана Романіш,False,140,183,108,143.3,незараховано
Лідія Володимириш,False,128,118,189,143.29999999999998,незараховано
Богдан Олександріш,True,134,160,139,143.29999999999998,незараховано
Ілля Вікторіш,True,188,108,119,143.29999999999998,незараховано
Марія Наталіїш,False,121,168,148,143.20000000000002,незараховано
Оксана Наталіїш,True,124,177,135,143.2,незараховано
Марта Алібіба,True,190,107,117,143.2,незараховано
Петро Іванниш,False,139,167,125,143.2,незараховано
Сергій Маріїш,False,118,141,179,143.2,незараховано
Роман Сергіїш,True,135,172,125,143.1,незараховано
Вікторія Ніниш,True,192,117,104,143.1,незараховано
Лідія Оксаниш,False,186,127,102,143.1,незараховано
Тетяна Загвойко,True,135,133,164,143.1,незараховано
Ольга Іриниш,True,131,121,181,143.0,незараховано
Ігор Іваниш,True,131,141,161,143.0,незараховано
Максим Алібіба,True,100,191,152,142.9,незараховано
Артем Вікторіш,False,127,145,162,142.9,незараховано
Артем Наталіїш,True,109,153,178,142.9,незараховано
Павло Загвойко,False,102,175,165,142.8,незараховано
Людмила Наталіїш,True,126,115,193,142.8,незараховано
Софія Ілляш,True,138,112,180,142.8,незараховано
Катерина Олексіїш,False,143,132,153,142.70000000000002,незараховано
Ілля Ярославиш,False,161,101,160,142.7,незараховано
Ігор Неборачко,False,176,129,112,142.7,незараховано
Ніна Загвойко,False,173,134,111,142.7,незараховано
Дмитро Іваниш,True,145,121,161,142.6,незараховано
Ніна Петріш,True,138,180,111,142.5,незараховано
Роман Ярославиш,True,162,114,145,142.5,незараховано
Ігор Ніниш,False,125,140,168,142.4,незараховано
Марта Ярославіш,True,128,156,148,142.4,незараховано
Тетяна Ніниш,True,122,134,178,142.4,незараховано
Олена Олексіїш,False,167,151,101,142.39999999999998,незараховано
Наталія Ілляш,True,128,118,186,142.39999999999998,незараховано
Ольга Лідіїш,True,173,138,106,142.39999999999998,незараховано
Анастасія Вікторіїш,True,151,136,137,142.3,незараховано
Наталія Софіїш,True,115,186,135,142.3,незараховано
Марта Софіїш,False,124,177,132,142.3,незараховано
Олег Ярославіш,True,112,176,149,142.29999999999998,незараховано
